2026-05-30 00:37:54,601 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,602 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,602 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,602 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,603 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,603 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,604 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,604 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,605 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,605 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,606 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,606 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,606 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,607 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,607 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,608 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,608 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,608 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,609 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,609 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,610 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,610 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,643 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,644 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62484 | 66 bytes
2026-05-30 00:37:54,644 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,645 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,667 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,668 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,669 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,672 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,673 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,674 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,674 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,675 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,675 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,676 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,676 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,677 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,677 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,678 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,678 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,679 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,679 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,680 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,680 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,681 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,681 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
